Name                                                                                                          Stmts   Miss  Cover
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/logic.py                                          199    104    48%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/mod.py                                            155     46    70%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/mul.py                                           1253    291    77%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/multidimensional.py                                56     43    23%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/numbers.py                                       2278    602    74%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/operations.py                                     309     80    74%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/parameters.py                                      34      5    85%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/power.py                                         1321    355    73%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/random.py                                          91     46    49%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/relational.py                                     550    132    76%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/rules.py                                           14      2    86%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/singleton.py                                       30      1    97%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/sorting.py                                         71      8    89%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/symbol.py                                         328    103    69%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/sympify.py                                        178    101    43%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/core/traversal.py                                       97     41    58%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/discrete/__init__.py                                     3      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/discrete/convolutions.py                               103     91    12%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/discrete/transforms.py                                 146    123    16%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/external/__init__.py                                     2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/external/gmpy.py                                        33     14    58%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/external/importtools.py                                 61     35    43%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/external/pythonmpq.py                                  184     26    86%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/__init__.py                                    10      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/curve.py                                       83     51    39%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/ellipse.py                                    440    346    21%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/entity.py                                     254    194    24%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/exceptions.py                                   2      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/line.py                                       650    526    19%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/parabola.py                                    95     65    32%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/plane.py                                      293    251    14%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/point.py                                      338    236    30%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/polygon.py                                    786    637    19%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/geometry/util.py                                       263    239     9%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/__init__.py                                    4      0   100%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/deltafunctions.py                             72     57    21%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/heurisch.py                                  399     86    78%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/integrals.py                                 635    332    48%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/laplace.py                                   879    799     9%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/manualintegrate.py                          1354    639    53%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/meijerint.py                                1134    609    46%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/prde.py                                      503    332    34%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/rationaltools.py                             162     78    52%
/Users/editflores/editf-github/dd2480/DD2480-sympy/sympy/integrals/rde.py                                       372    274    26%
